label,pca_x,pca_y,tsne_x,tsne_y
0,-72.75471497,-37.91279221,-20.13580704,20.98839188
0,-34.90435791,-47.84425735,0.54348493,3.83879542
0,-38.66928101,-47.44234848,5.78283644,6.69175768
0,-38.26295853,-46.98572922,0.01247024,3.64363527
0,-105.57546234,43.52153778,-31.82981110,-0.63136733
0,-93.13153839,50.46057892,-29.01414871,-2.21262074
0,-68.43289185,58.53148651,-12.95951271,-12.51731682
0,-73.93474579,53.85993958,-17.62372208,-23.98743820
0,-26.07192612,-6.88422632,-8.44344616,23.42828369
0,-24.64867401,-20.87815666,10.19893074,-11.02251911
0,-43.69106293,-16.78155136,10.65190792,-13.01145554
0,-42.19418335,-14.89963150,9.72318268,-12.57220364
0,13.06302452,-65.57344055,-12.03132725,28.62997437
0,55.44881439,-72.36672211,21.28855515,7.90455532
0,30.70308113,-66.44199371,20.96748734,0.87330759
0,-9.00697803,-60.31750488,21.50084877,-2.59861946
1,-66.46569824,15.06764412,-15.84969044,18.02345085
1,-37.34059525,14.71776581,-0.65715575,-7.78176689
1,-51.20295715,11.05566502,-0.21658766,-7.02632761
1,-50.82621002,10.95718956,0.71217191,-5.97478199
0,-34.15500641,19.45504189,-6.87142944,21.51741600
0,-20.68149567,37.49765396,7.16875172,-15.60476780
0,-10.44097996,66.04081726,4.86304903,-18.05699730
0,-32.35681534,66.65090942,-14.82003498,-25.00276566
0,-55.00933075,7.74276114,-14.14853096,19.09213066
0,0.98596257,16.37151909,5.82892752,-8.33213043
0,-0.52437359,10.95365143,6.18360806,-7.94634485
0,-2.39419389,9.70829010,8.20881748,-5.04870129
0,-112.57002258,29.47550583,-23.00721169,8.40918636
0,-102.43707275,33.76309204,-22.83885193,5.93665838
0,-105.03791046,34.83498764,-22.79499054,6.63513803
0,-104.41377258,35.30854797,-22.10224915,5.91499186
1,10.50978851,-97.67330933,-19.79925537,30.19184303
1,176.00961304,-139.37417603,27.90764809,15.81858253
1,154.56384277,-118.01948547,28.14548302,12.39575481
1,150.09748840,-115.17753601,29.71235466,12.74555016
0,-77.13513947,17.28630447,-13.88918877,13.85746956
0,-64.25146484,18.58486366,-2.02173042,-10.60639763
0,-72.78379822,18.99882317,-0.92011333,-7.27816677
0,-72.98995972,19.50880623,1.03801703,-5.94757700
0,55.85971832,58.38820267,-3.82802725,16.90793800
0,116.14987946,79.03028107,0.15951607,-23.07488251
0,98.66477966,89.59087372,-3.20992780,-24.09040833
0,47.45532227,78.35474396,-9.10487747,-24.62630081
0,-42.65723419,1.83251357,-14.17254448,20.33431625
0,14.88999081,5.50332165,8.47085285,-4.78714752
0,13.24092388,2.76016641,8.20166206,-6.86560249
0,12.87162399,1.91411340,12.28937149,-4.33014822
0,-128.42140198,10.88672161,-23.31460190,11.05134392
0,-110.88800049,21.37520599,-25.20774460,2.68805289
0,-111.03140259,24.69839859,-26.55990410,4.20986891
0,-109.66183472,24.94580841,-24.02989578,2.13845158
1,-46.28872681,-60.31972885,-19.31017685,25.99305534
1,-6.04138279,-65.87265015,10.31352806,7.07917404
1,-9.16545677,-59.08977127,10.32421303,7.43499613
1,-9.62666225,-57.10908890,10.43578720,7.96083784
0,-75.31331635,30.30198288,-17.18994331,15.40231037
0,-36.26391983,25.77245903,-4.15126228,-4.33892584
0,-33.41783524,22.04676056,-4.06196690,-4.21893024
0,-31.67695045,23.81667519,-6.95547247,-8.27343273
0,20.85610008,193.56913757,-5.57481384,12.70677853
0,130.06922913,292.36877441,1.15350103,-34.21237183
0,114.93758392,273.53359985,0.29560617,-33.91497421
0,68.28587341,231.56381226,-2.27825356,-34.47666168
1,99.82778931,-43.45087051,-9.70418644,35.47132492
1,181.76419067,-34.53689957,35.83929443,1.74728847
1,164.06285095,-34.20138550,33.37656784,-0.51620364
1,109.53623962,-26.02761269,28.97661591,-2.76496887
0,-86.72562408,11.04520130,-22.28030777,18.25269127
0,-40.85211563,32.11788559,-3.43355155,-7.79150248
0,-56.94441605,33.01746750,-4.10318279,-12.06301117
0,-58.74504852,31.79351997,-2.38255572,-8.85144520
0,-5.73189592,-14.37844086,-6.73859453,29.03144836
0,2.22793794,-19.48864937,11.87968636,-10.99852371
0,-24.29777718,-14.95274734,11.56296158,-13.94640732
0,-23.61792183,-14.90179825,12.99385262,-13.17906284
0,-50.10699081,-36.13474655,-16.25576782,25.72639847
0,2.63703132,-46.20978928,12.51032257,4.39680195
0,17.03328896,-49.56690216,15.90027428,3.44125199
0,22.28804398,-49.82922363,16.00806999,3.59606695
1,160.17359924,-2.76177859,-9.26235199,37.68910980
1,237.44094849,-6.72059965,38.24725723,0.82645887
1,194.53330994,-6.69677448,33.37493515,0.94249040
1,131.92687988,-1.51146972,30.24426079,-2.64072657
0,-115.45011902,24.81168938,-22.27113724,14.59724617
0,-81.35381317,48.65251160,-12.82741737,-4.72203636
0,-78.53485107,46.77909470,-11.89334488,-5.38417101
0,-78.17519379,45.04320145,-11.15619850,-5.93369293
0,-50.58405304,-36.50160980,-19.61341476,25.26024055
0,-7.84902573,-39.68158340,9.50732803,6.57627344
0,-6.69923258,-43.54079819,9.24513149,3.91304398
0,-7.15479803,-46.89501572,9.26167107,3.92019343
1,6.31788778,-110.82299805,-17.37413979,32.06747437
1,65.28234100,-122.08120728,19.38838959,14.40735912
1,58.13257599,-118.35982513,19.29442596,9.61905384
