epoch,iteration,train_loss,train_RMSE_um,test_RMSE_um,test_MAE_um,test_R2
1,6,1.4952023355290294,80.162516357333,63.551580405927176,47.40672931075096,0.6073886309344152
25,150,0.22180887032300234,50.900355696753074,29.72012648477559,20.18832638859749,0.9141359304478324
50,300,0.10631239868234843,41.29214764952826,36.49314848985589,31.97384849190712,0.8705408265516599
75,450,0.13377833645790815,36.514090979771765,39.1781301019721,31.649255752563477,0.8507901239627635
100,600,0.06939358916133642,22.166560366869923,15.362545229165226,12.982137501239777,0.9770577234569352
125,750,0.0859481462975964,34.057031077000374,31.84247668322226,27.446376532316208,0.9014347471605535
150,900,0.099923798115924,22.94101451075384,18.987889906928423,12.44271770119667,0.9649519732749001
175,1050,0.03845023503527045,14.856933396661306,11.386242751698381,8.048127591609955,0.9873970840882709
200,1200,0.06657673954032362,13.94860043347604,10.181060570984258,7.944781333208084,0.9899238133472638
225,1350,0.08391080424189568,21.857483559097922,20.24566597033953,15.16868844628334,0.9601549573700896
250,1500,0.10377514781430364,17.50675598313991,13.58205302099238,10.465113818645477,0.9820674931919019
