epoch,iteration,train_loss,train_RMSE_um,test_RMSE_um,test_MAE_um,test_R2
1,6,2.6799502128904518,185.45348605471926,259.76954620146694,195.49140961546647,-0.1031991930293723
25,150,0.22583961854507398,67.70423416962161,80.46977553755775,58.92699878466757,0.8941372810900894
50,300,0.14536599437524747,53.824257609054996,99.48570547213917,62.29851747813978,0.8381924313911914
75,450,0.13702640680039857,50.00111214824749,64.79145858978666,42.27653616353085,0.9313701613323883
100,600,0.199080317825466,42.78716498225069,65.97457351571424,54.28647994995117,0.9288408671597926
125,750,0.15141837850406573,48.79985066551526,60.55642172508017,50.72225081293207,0.9400488009278817
150,900,0.09572221358101089,41.845552597522925,46.32090869299478,36.42119702539946,0.9649222599673322
175,1050,0.09408867383351574,43.84149198564964,57.02412179292315,40.12041735021692,0.9468388122818879
200,1200,0.17899189579796482,39.409831266012425,97.92322555202443,52.17219810736807,0.8432350799980025
225,1350,0.08076590761639081,24.538587974803235,62.82111202073709,37.995137666401114,0.9354808401325473
250,1500,0.10237564833520295,23.529331985157604,29.660430271388584,22.72274541227441,0.9856175670564261
