epoch,iteration,train_loss,train_RMSE_um,test_RMSE_um,test_MAE_um,test_R2
1,6,1.5179856721456948,234.55767507347682,323.2887187242778,242.8850061015079,-0.7086714548713611
25,150,0.16934882481763888,69.33970868359451,149.07139699995625,108.62007737159729,0.6366994068342402
50,300,0.11050565952023902,42.612034514898546,112.4053062531449,73.38721501199822,0.7934376857918308
75,450,0.13601744087872567,62.61035221300291,89.42846051660428,74.976993234534,0.8692538307519332
100,600,0.05344514064974599,31.141352597690613,112.43759556302933,67.45932447282891,0.7933189954423082
125,750,0.08965762893294359,32.04458729266076,100.76073751643713,68.19507950230648,0.8340183263471834
150,900,0.05661397894191277,29.503798471135728,117.7339767706577,71.875556519157,0.773388945613227
175,1050,0.05705832154187676,32.2115865041978,92.68345237172406,60.183692135308924,0.8595628947286976
200,1200,0.11425912539873805,39.45825537998386,100.05104221439534,60.12274638602609,0.836348233312136
225,1350,0.07384001565250484,37.42223472400863,99.28158683617478,60.22661610653525,0.8388557238248331
250,1500,0.1319628442069153,36.6813380587347,117.172607130033,73.47223946922703,0.7755448106795594
